SRC	Qty	Score	Excess	STR
27563KA00	1	1	9.7971	8
27563KE00	12	1	8.9536	3
27563KE00	11	1	8.7968	3
27563KE00	10	1	8.64	3
27563KE00	9	1	8.4832	3
27563KE00	8	1	8.3264	3
27563KD00	6	1	8.2384	2
27563KE00	7	1	8.1695	3
27563KD00	5	1	8.0534	2
27563KE00	6	1	8.0127	3
27563KC00	4	1	7.9872	1
27563KE00	5	1	7.8559	3
27563KC00	3	1	7.7824	1
27543KA00	2	1	7.7027	9
27563KE00	4	1	7.6991	3
33812K100	3	1	7.6855	221
27563KD00	3	1	7.6833	2
45607K000	2	1	7.5932	15
01612K000	2	1	7.5492	138
05611KE00	1	1	7.5492	15
27563KD00	4	1	7.8684	2
05350K500	18	0.999731197	1.5499	119
09513KA00	9	0.999431217	0.5076	22
77202K900	33	0.998957946	0.2484	4345
45413K000	17	0.998566249	0.7734	20
05613K000	9	0.997939153	0.7965	15
08420K000	9	0.997515015	0.6057	99
08420K000	10	0.997383634	0.6939	99
40500KA00	29	0.996843513	0.3414	6
40500KA00	28	0.996280768	0.308	6
12567KK00	16	0.996022737	0.2948	20
12567KK00	17	0.995961182	0.3176	20
08300K000	10	0.995954055	0.8934	63
05611KD00	18	0.995798611	1.6696	8
08528KA00	45	0.994697227	0.2415	20
08420K000	8	0.994425676	0.4961	99
16503KB00	21	0.994345899	0.8197	2
11902K000	7	0.994345238	5.1332	177
05613K000	8	0.994297619	0.6944	15
45423K000	6	0.994262246	0.9073	30
31815K000	18	0.994255952	0.3211	508
63602K000	7	0.994110857	0.6569	255
55889KC00	9	0.994093915	0.1737	2
55663K100	8	0.994070161	1.0431	286
77202K900	32	0.993667328	0.2193	4345
05611KD00	17	0.99333664	1.5925	8
40500KA00	27	0.993177191	0.2765	6
37402K000	7	0.993148762	1.5915	244
40500KA00	26	0.99276455	0.2513	6
01225K300	18	0.992744182	0.2007	600
05613K000	7	0.992701058	0.5977	15
08300K000	9	0.992597281	0.793	63
55578K000	6	0.991977513	7.5074	41
08528KA00	44	0.991871974	0.2154	20
08420K000	7	0.9916504	0.4107	99
09436K100	12	0.991618388	0.4239	44
05611KF00	10	0.991240919	0.5169	7
16503KB00	20	0.991169974	0.7782	2
09513KA00	8	0.99066736	0.4026	22
63365K000	8	0.990229172	0.3327	680
63602K000	6	0.990178843	0.5016	255
11902K000	6	0.98984623	4.3516	177
14547K000	4	0.989652778	0.4107	42
31815K000	17	0.989486332	0.2406	508
08528KA00	43	0.989402628	0.1954	20
40500KA00	25	0.989149413	0.2244	6
45413K000	16	0.989069526	0.7301	20
05611KD00	16	0.98901207	1.496	8
08420K000	6	0.989002753	0.3216	99
08300K000	8	0.988949836	0.6914	63
44601K000	7	0.988844947	1.0365	252
45423K000	5	0.987834528	0.6742	30
08300K000	7	0.987510549	0.5975	63
11623K000	3	0.987328042	3.175	154
05613K000	6	0.987178571	0.5234	15
19653K000	6	0.987055556	1.0047	124
06600K000	5	0.987054674	0.2116	53
44693K000	17	0.986424792	0.64	91
08528KA00	42	0.986129032	0.1808	20
40500KA00	24	0.985799689	0.1932	6
72007K000	14	0.985342813	0.1825	83
55706K000	3	0.98505291	1.7852	58
12613K000	5	0.984675926	0.1956	25
08528KA00	41	0.984064956	0.1617	20
16503KA00	3	0.984047619	8.0689	5
55578K000	5	0.983714727	6.6087	41
77202K900	31	0.983712368	0.2017	4345
12567KB00	6	0.983270503	0.5789	9
87010K400	12	0.982749598	0.1318	641
44601K000	6	0.982631827	0.7538	252
20518KA00	3	0.982585979	2.2273	2
01605K100	6	0.982440476	0.5051	168
16503KB00	18	0.982179894	0.6804	2
12567KK00	15	0.982055372	0.234	20
06475K100	11	0.981992668	0.2849	357
16503KA00	2	0.981785714	7.2852	5
40500KA00	23	0.981527203	0.1681	6
05350K500	17	0.98084248	1.5204	119
16503KB00	19	0.980767196	0.7199	2
31815K000	16	0.980271164	0.1729	508
